date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:31	96216/96216	---M-Z	200	added ('OK')	text/html	etag:W/%2266d91b9b-177d8%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html	(from )
19:50:32	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266d8749d-239b%22	https://dcrsorgi.github.io/robots.txt		(from )
19:50:32	4594/4594	---M--	200	added ('OK')	image/png	etag:%2266d91b9b-11f2%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:33	232827/232827	---M-Z	200	added ('OK')	text/css	etag:W/%2266d91b9b-38d7b%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:33	0/0	---M--	200	added ('OK')	text/css	etag:%2266d91b9b-0%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/material-icons.css	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/material-icons.css	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:34	346789/346789	---M-Z	200	added ('OK')	text/css	etag:W/%2266d91b9b-54aa5%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:35	234371/234371	---M--	200	added ('OK')	image/png	etag:%2266d91b9b-39383%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:36	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266d91b9b-17152%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:36	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266d91b9b-17152%22	https://dcrsorgi.github.io/ROPYA/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
19:50:37	3853/3853	---M--	200	added ('OK')	image/png	etag:%2266d91b9b-f0d%22	https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/jk/dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://dcrsorgi.github.io/ROPYA/crsorgi0gov0in.github.io/DWD/dc.crsorgi.goov.info/verifycertificate7592.html)
